"","X76.1125105776981","X35.8063990393603"
"1",76.1125105776981,35.8063990393603
"2",75.7611874759681,35.8478129897414
"3",86.1101398007335,28.009765067551
"4",72.3304493342213,36.1739138425856
"5",75.633500050229,35.9004364071317
"6",82.6100316809885,29.28916784394
"7",74.9792354838352,35.8504067795122
"8",75.2135612030464,35.7958081367936
"9",86.6622823243982,28.0450115268406
"10",86.9835085291275,27.8512552294634
"11",75.7258225713442,35.9233931617813
"12",86.6009786608258,28.0504272169933
"13",86.927029199082,27.9439140461805
"14",76.104547630682,35.8634261137708
"15",74.2499912363454,35.0398822946987
"16",73.0258535124307,36.6103052093876
"17",76.8488159926944,33.219803832913
"18",76.1090135965717,35.7924097072547
"19",75.2760352323237,35.7589070801462
"20",82.7512362388746,29.12778504261
"21",88.253484100477,27.6988221242731
"22",76.8270759753915,33.3776786112277
"23",76.6846427696763,35.6795629370132
"24",76.0202133768013,35.8902006353527
"25",75.8284118237621,35.8717839861832
"26",83.2196648472991,28.7217234784744
"27",75.9021461848661,35.8749793705218
"28",71.9287655057032,36.3199796477412
"29",72.0181251184693,36.2596942052582
"30",72.2899718387356,35.7476258895836
"31",86.9482738820657,27.9550128964033
"32",76.6209275532249,35.6441966374273
"33",72.4053634672162,36.1814154730684
"34",88.1383751272162,27.6437320514644
"35",75.1354512277699,35.9276186578772
"36",74.9680152524179,35.8703805691821
"37",70.9922868911971,35.7192121994383
"38",75.1148979665517,36.0066480712037
"39",90.6800905671648,28.0612560911369
"40",72.8214036448481,35.392071961086
"41",75.000642614738,35.7781512642414
"42",72.3275672103844,36.665526614758
"43",73.0281235364262,36.5499635491241
"44",71.3606753974219,36.1485817916792
"45",92.6291161124796,27.8900840778492
"46",75.5903392087097,36.0007276237483
"47",75.7285361687993,35.8721996244262
"48",76.5551974471879,33.591873496877
"49",72.3863018110709,35.9080348256356
"50",76.6015228933267,33.5644518209559
"51",75.8930240159932,36.0001949331608
"52",76.6501952768111,35.6255106697183
"53",75.7884900916383,35.8234304319332
"54",75.5935525752123,35.8410402551207
"55",83.318862767101,28.7429219824034
"56",76.7006164594783,35.7186678809187
"57",76.7952381020418,33.340031413902
"58",72.3834728838454,36.7527124736986
"59",75.7712554697224,35.9248388260633
"60",76.586592532045,35.6284816952188
"61",75.6823230601634,36.0928083815318
"62",72.9740515996054,36.6912301475909
"63",72.8840044228178,36.4890091286223
"64",72.3700070295015,36.0058216505256
"65",76.1097799256603,35.82324382877
"66",86.7180646976544,28.0755290769148
"67",72.5699357553927,35.630024399518
"68",71.1266852885134,35.945995509888
"69",76.6305074316728,35.7629550191327
"70",75.1740414210025,35.9288510725104
"71",75.2284460228224,35.8593537517395
"72",77.3059170573294,32.9537518100913
